@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric
@attribute GameStage {pf,fp,tn,rv}

@data
f,92,1,2,true,b1,k,545792,false,1,tn
b2,4,1,0,false,?,?,0,false,1,pf
f,9,0,1,true,b2,?,0,false,1,pf
f,3,0,0,false,?,?,0,false,1,pf
f,9,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
k,28,1,0,false,k,b2,827392,false,1,fp
b1,28,2,0,false,k,k,17604608,false,1,tn
b2,36,3,0,false,k,b1,17606400,false,1,rv
c,7,0,1,true,b2,?,0,false,1,pf
k,10,0,1,true,b2,c,763136,false,1,fp
f,17,0,2,true,b1,k,763136,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b1,4,1,0,false,k,c,761856,false,1,fp
k,8,1,0,false,k,b1,17477632,false,1,tn
f,10,1,1,false,b1,k,17478144,false,1,rv
c,7,0,1,true,b2,?,0,false,1,pf
k,10,0,1,true,b2,c,811520,false,1,fp
k,10,0,1,true,k,k,811808,false,1,tn
b2,10,1,1,true,k,k,820786,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
c,28,1,1,false,b2,b2,0,false,1,pf
k,44,1,1,false,k,c,676096,false,1,fp
b2,44,2,1,false,k,k,17453312,false,1,tn
k,108,2,1,false,k,b2,17483024,false,1,rv
b2,4,1,0,true,c,?,0,false,1,pf
k,12,1,0,true,c,b2,17072128,false,1,fp
c,20,1,1,true,b1,k,17072128,false,1,fp
k,28,1,1,true,b1,c,17072128,false,1,tn
k,28,1,1,true,k,k,17073664,false,1,rv
f,51,1,2,true,b2,k,17073664,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,689664,false,1,fp
k,12,1,0,false,k,k,689696,false,1,tn
c,14,1,1,false,b1,k,764002,false,1,rv
f,9,0,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
f,9,0,1,false,b2,c,0,false,1,pf
b2,14,1,1,true,b2,?,0,false,1,pf
c,62,1,2,true,b2,b2,0,false,1,pf
k,88,1,2,true,b2,c,684288,false,1,fp
c,131,1,3,true,b1,k,684288,false,1,fp
k,174,1,3,true,b1,c,829200,false,1,tn
b3,174,2,3,true,k,k,834161,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
b2,14,1,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
b2,4,1,0,true,c,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
b2,14,1,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,672000,false,1,fp
c,21,1,1,false,b2,k,672272,false,1,tn
k,30,1,1,false,k,c,689185,false,1,rv
c,9,0,1,true,b2,?,0,false,1,pf
k,14,0,1,true,b2,c,828416,false,1,fp
k,14,0,1,true,k,k,829248,false,1,tn
k,14,0,1,true,k,k,17606464,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
b2,10,1,1,true,b2,?,0,false,1,pf
k,84,1,1,true,c,b2,537088,false,1,fp
k,84,1,1,true,k,k,553760,false,1,tn
b1,84,2,1,true,k,k,17008416,false,1,rv
c,3,0,0,false,?,?,0,false,1,pf
b1,4,1,0,false,k,c,553472,false,1,fp
k,4,0,0,true,c,?,0,false,1,pf
b1,4,1,0,true,c,k,754944,false,1,fp
b1,8,2,0,true,c,b1,755536,false,1,tn
b2,16,3,0,true,c,b1,755540,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,753664,false,1,fp
b2,12,2,0,false,k,k,833536,false,1,tn
k,36,2,0,false,k,b2,833616,false,1,rv
b2,10,1,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,684288,false,1,fp
f,22,1,1,false,b2,k,685072,false,1,tn
b3,4,1,0,true,c,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
c,9,0,1,true,b2,?,0,false,1,pf
k,14,0,1,true,b2,c,335872,false,1,fp
f,23,0,2,true,b1,k,335872,false,1,fp
b2,4,1,0,false,?,?,0,false,1,pf
f,24,1,1,false,b2,b2,0,false,1,pf
k,4,0,0,true,c,?,0,false,1,pf
k,4,0,0,true,c,k,823552,false,1,fp
k,4,0,0,true,k,k,824336,false,1,tn
f,8,0,1,true,b2,k,824336,false,1,tn
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,806912,false,1,fp
b1,12,2,0,false,k,k,816384,false,1,tn
b2,14,1,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
b2,12,2,0,false,k,b2,16826368,false,1,fp
k,36,2,0,false,k,b2,16827392,false,1,tn
k,36,2,0,false,k,k,16828480,false,1,rv
f,7,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
c,28,1,1,false,b2,b2,0,false,1,pf
b2,44,2,1,false,k,c,335872,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
k,14,0,1,true,b2,c,742144,false,1,fp
c,23,0,2,true,b1,k,742144,false,1,fp
k,32,0,2,true,b1,c,17150720,false,1,tn
b1,32,1,2,true,k,k,34296576,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
f,7,0,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
k,4,0,0,false,k,c,681216,false,1,fp
k,4,0,0,false,k,k,685648,false,1,tn
k,4,0,0,false,k,k,17462864,false,1,rv
b2,10,1,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
k,4,0,0,false,k,c,405504,false,1,fp
k,4,0,0,false,k,k,746240,false,1,tn
f,6,0,1,false,b1,k,746256,false,1,rv
c,7,0,1,true,b2,?,0,false,1,pf
k,10,0,1,true,b2,c,17047552,false,1,fp
k,10,0,1,true,k,k,17047808,false,1,tn
b2,26,1,2,true,b2,k,17047808,false,1,tn
b2,4,1,0,false,?,?,0,false,1,pf
b1,12,2,0,false,k,b2,811008,false,1,fp
k,24,2,0,false,k,b1,820736,false,1,tn
k,24,2,0,false,k,k,820768,false,1,rv
f,9,0,1,true,b2,?,0,false,1,pf
c,3,0,0,false,?,?,0,false,1,pf
f,9,0,1,false,b2,c,0,false,1,pf
b2,4,1,0,true,c,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
k,4,0,0,true,c,?,0,false,1,pf
k,4,0,0,true,c,k,667648,false,1,fp
b2,4,1,0,true,k,k,828160,false,1,tn
k,28,1,0,true,c,b2,834096,false,1,rv
c,51,1,1,true,b2,k,834096,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
f,8,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
c,9,0,1,true,b2,?,0,false,1,pf
k,14,0,1,true,b2,c,467200,false,1,fp
f,24,0,2,true,b2,k,467200,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,9,0,1,false,b2,c,0,false,1,pf
b1,14,1,1,false,k,c,623360,false,1,fp
b2,24,2,1,false,k,b1,623920,false,1,tn
c,7,0,1,true,b2,?,0,false,1,pf
k,10,0,1,true,b2,c,807680,false,1,fp
k,10,0,1,true,k,k,824624,false,1,tn
c,18,0,2,true,b2,k,824624,false,1,tn
k,26,0,2,true,b2,c,833875,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
b2,4,1,0,true,c,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
k,4,0,0,true,c,?,0,false,1,pf
k,4,0,0,true,c,k,598272,false,1,fp
f,7,0,1,true,b2,k,598272,false,1,fp
b2,4,1,0,false,?,?,0,false,1,pf
b2,4,1,0,true,c,?,0,false,1,pf
k,12,1,0,true,c,b2,823296,false,1,fp
b2,12,2,0,true,k,k,824320,false,1,tn
c,3,0,0,false,?,?,0,false,1,pf
f,9,0,1,false,b2,c,0,false,1,pf
f,7,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
k,28,1,0,false,k,b2,17104896,false,1,fp
c,46,1,1,false,b1,k,17149952,false,1,tn
b2,64,2,1,false,k,c,17152512,false,1,rv
b2,4,1,0,true,c,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
f,9,0,1,true,b2,?,0,false,1,pf
b2,4,1,0,false,?,?,0,false,1,pf
c,7,0,1,true,b2,?,0,false,1,pf
k,10,0,1,true,b2,c,832000,false,1,fp
b2,10,1,1,true,k,k,834080,false,1,tn
b2,4,1,0,false,?,?,0,false,1,pf
f,28,1,1,false,b2,b2,0,false,1,pf
c,9,0,1,true,b2,?,0,false,1,pf
k,14,0,1,true,b2,c,828160,false,1,fp
k,14,0,1,true,k,k,828160,false,1,tn
f,26,0,2,true,b2,k,828160,false,1,tn
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,553472,false,1,fp
b2,12,2,0,false,k,k,553472,false,1,tn
c,9,0,1,true,b2,?,0,false,1,pf
k,14,0,1,true,b2,c,397312,false,1,fp
k,14,0,1,true,k,k,401664,false,1,tn
c,27,0,2,true,b2,k,401664,false,1,tn
k,40,0,2,true,b2,c,746000,false,1,rv
b2,4,1,0,false,?,?,0,false,1,pf
k,12,1,0,false,k,b2,741376,false,1,fp
