@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute ActionCount numeric
@attribute DeckStrength numeric

@data
34360064,38,10,17609744
17157024,48,11,17152576
17532736,36,9,17527824
17156976,16,10,17151760
834165,108,12,685328
34167808,16,9,17417472
17483872,118,10,829540
17287264,70,9,17269808
17528128,102,10,750914
67829760,24,11,759920
694373,108,9,693844
16829344,14,9,834081
33893120,50,11,16955728
17483616,64,11,828993
67633152,108,9,821092
34106368,38,10,834182
67633152,108,11,554579
33893120,34,10,16955440
34147072,10,10,34146304
17607040,4,9,17605408
50838016,38,10,17283712
829507,8,9,829505
17222544,8,10,17220624
34020096,68,10,16889392
833654,16,10,755553
17152368,26,10,17134096
17524016,44,10,414480
34241536,324,11,17287712
33971200,26,10,812354
17419104,102,10,759378
834183,38,10,829266
16816240,12,10,624400
16885328,26,11,681232
33958400,72,11,16950832
17278528,24,10,17277728
17327136,36,11,549921
34236416,22,10,17457920
17221680,24,10,811792
34310656,24,9,17537120
34020096,24,10,16889600
17091472,10,9,825408
17205072,8,10,17199888
34286592,72,10,16959536
17288064,30,9,833649
101076992,8,9,50763008
50885888,32,11,17331232
17147744,8,9,685648
34151168,4,9,17413904
17483616,24,10,17483584
834166,4,9,829281
833908,4,9,825121
67371008,72,12,483856
764261,36,10,763440
34364160,120,12,17157024
34367744,216,10,33967104
84702803,24,9,84702803
16959856,36,10,16958976
17327424,24,9,17326336
829831,4,9,821041
34162432,16,9,17396736
100745216,22,10,17076480
17143904,54,9,623920
17470784,24,11,693569
34241536,24,9,17483552
17213504,12,10,549938
17606752,256,12,820785
17278512,12,9,17278512
17021552,14,9,763459
833381,36,10,816723
17218128,32,10,763458
16829344,24,11,762896
834166,48,11,751120
84710704,16,9,17601840
833091,14,9,746256
17217904,24,9,620082
33762304,34,10,16959792
67305472,108,11,16958208
17222544,174,12,759362
117907456,108,11,34013696
17349232,36,10,764017
84579105,72,11,16884768
17216560,108,10,17216000
34176000,42,10,17418080
16960416,8,9,763168
34379264,16,9,17602064
764277,10,9,619809
16942944,10,9,16938000
17222512,36,10,17217360
50580224,28,10,833840
693827,24,10,680993
16960368,72,11,833360
34244864,62,12,694337
833910,14,9,824897
33971200,8,9,17156192
34370560,256,10,17253120
34179840,12,9,17348976
17155904,12,10,816432
34290176,72,12,763971
33691904,10,10,623120
16960144,4,9,829778
16829328,16,9,16823616
17152384,36,10,17152096
833893,4,9,824912
17479488,74,10,763714
17143872,10,10,545824
751170,10,9,484384
17401696,36,10,620064
17016400,26,10,681264
759874,24,10,759873
17283152,32,10,755472
34363648,8,10,34363648
16824960,12,10,16824864
84571664,62,12,685616
67829760,800,11,763744
34228480,16,9,17471568
84715616,216,13,828978
17025888,648,11,17025872
101384192,12,10,101384192
17152320,38,10,611378
100671488,26,10,16802848
16890240,12,9,759892
694356,324,11,694305
34212608,12,10,16824880
17086848,8,9,624195
17147744,10,9,685650
17283680,50,10,763731
34167808,12,10,17156464
34154496,72,10,16947296
17353024,30,9,825409
17017184,8,10,17012240
67829760,800,13,764005
51104000,14,9,17549664
17213824,10,10,689747
67895296,36,9,17480064
34285824,16,9,17535776
34097664,16,9,17082384
17283456,24,10,755521
17340240,72,10,17339168
34370816,48,10,17286400
17348976,24,10,759922
17086304,28,10,750624
34158592,48,10,17007904
84632897,62,10,746817
17270352,72,11,17257248
16889664,4,9,16872496
17090400,26,10,17068800
16829008,38,10,16827696
763474,4,9,681249
34236672,48,10,694369
17353616,16,9,17352960
34027520,8,9,34025984
34020352,34,10,34017280
17025136,36,9,17025040
829285,44,10,685633
17484688,88,10,17479168
16955504,24,10,755489
759925,72,11,759602
17222560,4,9,17222256
17283456,12,9,759618
17484672,4,9,17483776
17611104,116,10,17588752
17156400,12,10,824624
17147712,8,9,685104
17091424,60,11,833040
33757952,26,10,17021280
17287520,24,9,825138
67633152,62,12,550209
34237440,16,9,17222256
67633152,72,11,763732
33966592,246,11,680976
833925,4,9,833924
17283712,8,10,17278528
17484672,8,10,17467184
34311168,24,9,17549312
33691392,12,10,16937216
17401696,42,9,624484
34306560,334,10,17532720
17152384,36,10,17143872
34240768,36,10,34223872
825187,10,9,619297
33760512,56,10,33690880
50641408,48,10,17082448
17086576,38,10,755504
33958912,38,10,16951136
829812,8,9,694066
17082480,4,9,689984
17086832,24,10,17086752
17152608,26,10,681282
751187,72,9,746272
100773888,256,12,16890480
34089728,24,10,16955440
17090608,38,10,820272
17091152,24,9,828449
34100992,32,10,17137920
34089984,32,10,16955488
620098,8,9,615440
17222544,34,10,825445
17087120,16,9,17086720
17353568,34,10,833089
34285824,16,9,34284544
51103744,34,10,51086592
821093,10,9,816688
17606464,128,12,828464
84706626,216,12,17156128
17283120,36,10,17268992
34106112,16,11,17217584
550194,36,11,550194
759926,8,10,755248
17065264,12,10,414736
17090944,26,10,825408
17353312,16,9,829537
67764224,92,11,17213824
34023680,8,10,34021376
17283680,16,10,763664
825188,24,10,825121
17086800,12,10,759104
84501536,36,9,619552
759924,24,9,750641
16955744,96,11,615730
17087088,26,10,17082208
17157008,24,10,759107
16956000,8,10,16955904
34355200,108,11,17008160
17152096,8,10,754960
34040832,108,12,17286688
833637,800,12,550193
84650356,108,10,764292
17484672,12,10,17483872
34237440,4,9,34237440
17414224,34,10,623888
33827840,52,9,16958784
34212096,138,12,16820272
17090640,36,10,820544
17222288,4,9,17213808
