@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric

@data
17222000,800,1,2,false,?,c,17221392,false,1
101367808,800,3,2,false,?,b1,17484032,false,1
34178560,48,0,3,false,?,k,17143904,false,1
17401680,800,1,2,false,?,c,17388288,false,1
17466960,800,2,2,false,?,c,17466912,false,1
34220288,800,1,2,false,?,k,16951088,false,1
51165184,584,1,3,true,?,k,833586,false,1
17218176,800,2,0,false,?,b3,17213552,false,1
67633152,800,2,1,false,?,b3,554560,false,1
100925440,800,0,2,false,?,c,50630656,false,1
33954304,96,2,2,false,?,b1,17213456,false,1
17549616,800,3,2,false,?,c,833842,false,1
16890224,24,0,2,false,?,k,759601,false,1
34380288,246,1,2,false,?,c,17605664,false,1
17353616,800,2,1,false,?,b3,17351456,false,1
34245376,108,0,4,false,?,c,34242560,false,1
34105600,800,2,2,false,?,b2,34105088,false,1
33954048,616,2,4,false,?,b2,615713,false,1
16955232,800,1,3,false,?,c,16954960,false,1
17082704,24,0,2,false,?,k,676912,false,1
17532496,800,2,2,false,?,k,755280,false,1
84649280,800,1,2,false,?,k,763472,false,1
50776320,144,1,3,false,?,b1,17208640,false,1
17021584,800,2,1,false,?,b3,17021584,false,1
34170880,564,2,2,true,?,b1,624481,false,1
34032128,800,1,2,false,?,c,34030080,false,1
34311168,36,2,1,true,?,k,17548304,false,1
34306048,48,1,2,false,?,k,17532736,false,1
34224896,144,1,3,false,?,b2,17016592,false,1
17536848,108,0,4,false,?,c,759106,false,1
34020352,800,2,1,false,?,b3,16894064,false,1
33954560,72,0,4,false,?,c,763745,false,1
17213824,36,0,3,false,?,k,694320,false,1
101351424,508,4,1,true,?,b2,17465872,false,1
16816240,800,2,2,false,?,k,619024,false,1
34081024,48,0,3,false,?,c,17322496,false,1
67698688,72,3,1,true,?,b1,821093,false,1
17222016,368,2,1,false,?,b1,825185,false,1
17483072,164,1,1,false,?,c,17454128,false,1
17602384,36,0,3,false,?,k,825120,false,1
17606496,800,0,2,false,?,c,829282,false,1
16823888,144,1,3,false,?,b2,16823600,false,1
84649795,144,2,3,true,?,k,759875,false,1
33893120,800,2,2,false,?,c,746785,false,1
834164,800,1,2,false,?,c,685088,false,1
17139264,48,0,3,false,?,c,550209,false,1
34109952,246,1,2,false,?,c,17278992,false,1
624212,800,1,2,false,?,c,624193,false,1
101158912,266,1,2,true,?,k,50827520,false,1
16889152,24,0,2,false,?,k,742433,false,1
834165,800,1,2,false,?,c,763169,false,1
16828784,800,2,2,false,?,b2,825154,false,1
34031872,800,0,2,false,?,c,17078016,false,1
17078112,800,2,1,false,?,b3,17068288,false,1
34249728,800,1,2,false,?,k,17419008,false,1
17152368,800,0,2,false,?,c,17143616,false,1
17221712,800,1,2,false,?,c,17220608,false,1
834181,800,2,1,false,?,b3,833569,false,1
17349264,800,2,2,false,?,k,759909,false,1
833381,800,2,2,false,?,k,816724,false,1
33884672,800,2,0,false,?,b3,676368,false,1
17611392,800,1,2,false,?,c,17606416,false,1
34040320,24,0,2,false,?,k,17213696,false,1
33753344,800,2,2,false,?,c,624432,false,1
16829328,800,0,2,false,?,c,833632,false,1
50759424,120,1,3,false,?,b2,17205024,false,1
34302976,48,2,1,true,?,k,17221392,false,1
17606496,96,2,2,true,?,k,17593920,false,1
17288080,800,1,2,false,?,c,17274928,false,1
34176000,96,0,4,false,?,c,17283344,false,1
17090656,164,1,1,false,?,c,812065,false,1
755556,800,1,2,false,?,c,746544,false,1
16868656,800,2,0,false,?,b3,16863744,false,1
17157024,800,2,2,false,?,k,17150752,false,1
34239744,800,2,2,false,?,k,17462592,false,1
834181,800,1,2,false,?,c,763953,false,1
17353616,24,0,2,false,?,k,17348128,false,1
834131,800,1,2,false,?,c,832800,false,1
34225152,72,0,3,false,?,c,834179,false,1
17017168,800,0,2,false,?,c,693554,false,1
17593632,296,1,2,false,?,c,816417,false,1
17287248,108,0,4,false,?,c,554256,false,1
34347776,800,2,2,false,?,k,34347776,false,1
67698688,800,1,2,false,?,c,755557,false,1
17087104,800,1,2,false,?,k,755265,false,1
825189,800,2,1,false,?,b3,816449,false,1
34109952,48,0,3,false,?,c,17274880,false,1
51021568,800,2,1,false,?,b3,17466144,false,1
17287776,36,2,1,true,?,k,816690,false,1
17483888,800,2,2,false,?,k,829249,false,1
829831,800,2,2,false,?,k,829505,false,1
17602384,800,2,2,false,?,k,816449,false,1
764022,800,1,2,false,?,c,685650,false,1
17471280,168,1,3,false,?,c,694049,false,1
16960400,800,2,2,false,?,c,16955696,false,1
755539,164,1,1,false,?,c,480016,false,1
33885184,800,2,2,false,?,c,33882624,false,1
101265408,800,2,1,false,?,b3,17409584,false,1
33823488,800,1,2,false,?,c,16889664,false,1
34233344,96,1,3,false,?,c,17156368,false,1
17086832,800,2,2,false,?,c,17078112,false,1
16960416,800,3,1,false,?,b1,764210,false,1
34285824,296,1,2,false,?,c,17535504,false,1
34302976,48,0,3,false,?,c,17218176,false,1
17021584,36,0,3,false,?,k,764208,false,1
67895296,96,0,4,false,?,c,829831,false,1
17090944,164,1,1,false,?,c,825409,false,1
829797,800,1,2,false,?,k,824865,false,1
690021,800,2,0,false,?,b3,689747,false,1
34310656,72,0,4,false,?,c,17532688,false,1
34097408,24,0,2,false,?,k,17078320,false,1
34240768,48,1,2,false,?,k,17471280,false,1
34211840,800,2,2,false,?,c,17449472,false,1
33622272,800,0,2,false,?,c,615184,false,1
34016000,800,0,2,false,?,c,17277952,false,1
17467200,144,2,2,false,?,b2,685072,false,1
694372,800,2,2,false,?,k,624178,false,1
34384640,24,0,2,false,?,k,17611312,false,1
17541504,800,0,2,false,?,c,17539584,false,1
33688320,24,0,2,false,?,k,16938496,false,1
34089984,246,1,2,false,?,c,17322512,false,1
34036480,72,0,3,false,?,c,17283664,false,1
100765696,800,1,3,false,?,c,34149632,false,1
34151424,246,1,2,false,?,c,16894240,false,1
17091200,800,1,2,false,?,c,820547,false,1
117817344,472,2,3,true,?,k,50708480,false,1
33831168,72,0,4,false,?,c,17012800,false,1
17222560,412,0,3,false,?,k,17218128,false,1
16890240,800,2,2,false,?,k,16889392,false,1
34151168,800,2,3,false,?,b1,16890512,false,1
16885600,216,2,3,true,?,k,685633,false,1
34294784,800,2,2,false,?,k,17548320,false,1
33901568,24,0,2,false,?,k,17089824,false,1
17024592,192,4,1,true,?,b1,812304,false,1
17283152,584,1,3,true,?,k,755539,false,1
17279072,800,0,2,false,?,c,17270288,false,1
34155520,36,0,3,false,?,k,17417536,false,1
17606768,368,2,1,false,?,b1,829553,false,1
33831936,24,0,2,false,?,k,17089312,false,1
34146304,48,0,3,false,?,c,16811296,false,1
829558,800,1,2,false,?,c,829553,false,1
829813,800,2,2,false,?,c,825168,false,1
34347776,472,1,4,false,?,b2,834081,false,1
17410160,48,0,3,false,?,k,694081,false,1
17151808,24,0,2,false,?,k,750915,false,1
834149,800,1,2,false,?,c,833108,false,1
17484688,800,1,2,false,?,c,17484688,false,1
34298880,800,2,2,false,?,b1,34296832,false,1
17610864,48,1,2,false,?,b1,833652,false,1
16955504,24,0,2,false,?,k,554034,false,1
84702256,96,2,2,true,?,k,16823344,false,1
34290176,800,2,1,false,?,b3,34289920,false,1
829556,368,1,2,false,?,k,829552,false,1
33889280,72,1,3,false,?,k,16893248,false,1
34379520,164,1,1,false,?,c,34379008,false,1
33753856,800,2,1,false,?,b3,16990464,false,1
16894880,800,2,1,false,?,b3,834097,false,1
17414224,800,2,2,false,?,k,759072,false,1
50906112,800,0,2,false,?,c,17351680,false,1
17156464,800,2,2,false,?,k,619843,false,1
33899264,800,3,2,false,?,b1,344864,false,1
17157024,24,0,2,false,?,k,829797,false,1
84497424,800,0,2,false,?,c,16880960,false,1
33823488,72,0,3,false,?,c,16888320,false,1
